EOYBYear,collectDate,sortDate,marshName,marshAbbrev,siteName,monitoringPurpose,marshRegion,isExperiment,Transect,locationID,locationName,Replicate,speciesName,ITISID,liveMass,deadMass,unknownMass,totalMass,sampleComment,latitude,longitude
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,4,Transition (4),b,Distichlis spicata,40662,8,7.6,0,15.6,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,4,Transition (4),a,Distichlis spicata,40662,3.8,1.6,0,5.4,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,A,2,Low Marsh (2),a,Distichlis spicata,40662,2.8,3.4,0,6.2,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,A,2,Low Marsh (2),b,Distichlis spicata,40662,0.3,0.1,0,0.4,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,A,4,Transition (4),a,Distichlis spicata,40662,2.4,1.2,0,3.6,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,A,4,Transition (4),b,Distichlis spicata,40662,11.2,4.5,0,15.7,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,B,4,Transition (4),a,Distichlis spicata,40662,26.5,3.5,0,30,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,B,4,Transition (4),b,Distichlis spicata,40662,3.9,2.9,0,6.8,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,2,Low Marsh (2),b,Distichlis spicata,40662,0.8,0.3,0,1.1,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,2,Low Marsh (2),a,Salicornia sp.,20646,0,5,0,5,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,A,2,Low Marsh (2),b,Salicornia sp.,20646,5.1,0.1,0,5.2,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,2,Low Marsh (2),b,Salicornia sp.,20646,0,5.2,0,5.2,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,D,4,Transition (4),b,Spartina alterniflora,41267,28.4,0.1,0,28.5,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,D,2,Low Marsh (2),b,Spartina alterniflora,41267,55.3,9.9,0,65.2,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,D,2,Low Marsh (2),a,Spartina alterniflora,41267,49.4,14.8,0,64.2,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,D,1,Creekbank (1),b,Spartina alterniflora,41267,133.5,11.6,0,145.1,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,D,1,Creekbank (1),a,Spartina alterniflora,41267,145.3,6.5,0,151.8,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,B,2,Low Marsh (2),a,Spartina alterniflora,41267,5.3,4.5,0,9.8,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,A,1,Creekbank (1),b,Spartina alterniflora,41267,0,0.8,0,0.8,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,A,2,Low Marsh (2),a,Spartina alterniflora,41267,15.5,4.9,0,20.4,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,A,2,Low Marsh (2),b,Spartina alterniflora,41267,20.1,15.4,0,35.5,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,2,Low Marsh (2),b,Spartina alterniflora,41267,2.7,1.6,0,4.3,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,B,1,Creekbank (1),b,Spartina alterniflora,41267,81.7,9.6,0,91.3,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,1,Creekbank (1),a,Spartina alterniflora,41267,0.1,80.2,0,80.3,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,1,Creekbank (1),b,Spartina alterniflora,41267,0,7.2,0,7.2,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,C,2,Low Marsh (2),a,Spartina alterniflora,41267,4.9,1.5,0,6.4,,37.625273,-75.671577
1999,NA,NA,Bellvue,BV,Bellvue,EOYB,1,0,B,1,Creekbank (1),a,Spartina alterniflora,41267,57.5,2.3,0,59.8,,37.625273,-75.671577
